id,Producto,Tienda,Estado,Incumplimiento
13443,CHOCOLATE,GRUPO TURIN  S. A. DE C. V. Y/O CHOCOLATES TURIN,MEXICO,0
13444,CHOCOLATE,GRUPO TURIN  S. A. DE C. V. Y/O CHOCOLATES TURIN,MEXICO,0
13445,CHOCOLATE,GRUPO TURIN  S. A. DE C. V. Y/O CHOCOLATES TURIN,MEXICO,0
13446,CHOCOLATE,GRUPO TURIN  S. A. DE C. V. Y/O CHOCOLATES TURIN,MEXICO,0
13447,ARTICULOS PARA REGALO,REGALOS KARY  Y/O NORMA KARINA DE LA ROSA VILLANUEVA,MEXICO,0
13448,ARTICULOS PARA REGALO,REGALOS KARY  Y/O NORMA KARINA DE LA ROSA VILLANUEVA,MEXICO,0
13449,ARTICULOS PARA REGALO,REGALOS KARY  Y/O NORMA KARINA DE LA ROSA VILLANUEVA,MEXICO,0
13450,ARTICULOS DEL HOGAR,REGALOS KARY  Y/O NORMA KARINA DE LA ROSA VILLANUEVA,MEXICO,0
13451,ARTICULOS DEL HOGAR,REGALOS KARY  Y/O NORMA KARINA DE LA ROSA VILLANUEVA,MEXICO,0
13452,DULCES Y GOLOSINAS,DULCES Y MATERIAS PRIMS SIN NOMBRE Y/O VICTORIA CAMPERO PEREZ,MEXICO,0
13453,DULCES Y GOLOSINAS,DULCES Y MATERIAS PRIMS SIN NOMBRE Y/O VICTORIA CAMPERO PEREZ,MEXICO,0
13454,DULCES Y GOLOSINAS,DULCES Y MATERIAS PRIMS SIN NOMBRE Y/O VICTORIA CAMPERO PEREZ,MEXICO,0
13455,DULCES Y GOLOSINAS,DULCES Y MATERIAS PRIMS SIN NOMBRE Y/O VICTORIA CAMPERO PEREZ,MEXICO,0
13456,DULCES Y GOLOSINAS,DULCERIA JALIL Y/O BAINO  S. A. DE C. V.,MEXICO,0
13457,DULCES Y GOLOSINAS,DULCERIA JALIL Y/O BAINO  S. A. DE C. V.,MEXICO,0
13458,DULCES Y GOLOSINAS,DULCERIA JALIL Y/O BAINO  S. A. DE C. V.,MEXICO,0
13459,DULCES Y GOLOSINAS,DULCERIA JALIL Y/O BAINO  S. A. DE C. V.,MEXICO,0
13460,DULCES Y GOLOSINAS,MATERIAS PRIMAS Y DULCERIA MADISON Y/O MARIA VIRGINIA FLORES FLORES,MEXICO,0
13461,DULCES Y GOLOSINAS,MATERIAS PRIMAS Y DULCERIA MADISON Y/O MARIA VIRGINIA FLORES FLORES,MEXICO,0
13462,DULCES Y GOLOSINAS,MATERIAS PRIMAS Y DULCERIA MADISON Y/O MARIA VIRGINIA FLORES FLORES,MEXICO,0
13463,DULCES Y GOLOSINAS,MATERIAS PRIMAS Y DULCERIA MADISON Y/O MARIA VIRGINIA FLORES FLORES,MEXICO,0
13464,SALSA,DULCES Y MATERIAS PRIMAS SIN NOMBRE Y/O ERICK ALBERTO CRUZ LIZARRAGA,MEXICO,0
13465,POLVO PARA PREPARAR AGUA,DULCES Y MATERIAS PRIMAS SIN NOMBRE Y/O ERICK ALBERTO CRUZ LIZARRAGA,MEXICO,0
13466,SALSA,DULCES Y MATERIAS PRIMAS SIN NOMBRE Y/O ERICK ALBERTO CRUZ LIZARRAGA,MEXICO,0
13467,COMPLEMENTO ALIMENTICIO,DULCES Y MATERIAS PRIMAS SIN NOMBRE Y/O ERICK ALBERTO CRUZ LIZARRAGA,MEXICO,0
13468,CHOCOLATE,CHOCOLATES TURIN  S. A. DE C. V.,MEXICO,0
13469,CHOCOLATE,CHOCOLATES TURIN  S. A. DE C. V.,MEXICO,0
13470,CHOCOLATE,CHOCOLATES TURIN  S. A. DE C. V.,MEXICO,0
13471,CHOCOLATE,CHOCOLATES TURIN  S. A. DE C. V.,MEXICO,0
13472,BEBIDAS,DULCERIA Y MATERIAS PRIMAS JARDIN Y/O MARIA GARCIA,MEXICO,0
13473,DULCES Y GOLOSINAS,DULCERIA Y MATERIAS PRIMAS JARDIN Y/O MARIA GARCIA,MEXICO,0
13474,DULCES Y GOLOSINAS,DULCERIA Y MATERIAS PRIMAS JARDIN Y/O MARIA GARCIA,MEXICO,0
13475,REFRESCOS,DULCERIA Y MATERIAS PRIMAS JARDIN Y/O MARIA GARCIA,MEXICO,0
13476,DULCES Y GOLOSINAS,DULCERIA Y MATERIAS PRIMAS NANY Y/O HELADIO BALDERAS AVILA,MEXICO,0
13477,DULCES Y GOLOSINAS,DULCERIA Y MATERIAS PRIMAS NANY Y/O HELADIO BALDERAS AVILA,MEXICO,0
13478,DULCES Y GOLOSINAS,DULCERIA Y MATERIAS PRIMAS NANY Y/O HELADIO BALDERAS AVILA,MEXICO,0
13479,DULCES Y GOLOSINAS,DULCERIA Y MATERIAS PRIMAS NANY Y/O HELADIO BALDERAS AVILA,MEXICO,0
13480,ARTICULOS PARA REGALO,REGALOS WILLY  Y/O VERONICA AGUILLON HUERTA,MEXICO,0
13481,ARTICULOS PARA REGALO,REGALOS WILLY  Y/O VERONICA AGUILLON HUERTA,MEXICO,0
13482,ARTICULOS PARA REGALO,REGALOS WILLY  Y/O VERONICA AGUILLON HUERTA,MEXICO,0
13483,ARTICULOS PARA REGALO,REGALOS WILLY  Y/O VERONICA AGUILLON HUERTA,MEXICO,0
13484,ARTICULOS DE LIMPIEZA PERSONAL,SALCHICHONERIA  ABARROTES Y CREMERIA EL CALVARIO Y/O ADAD MARTINEZ BERNAL,MEXICO,0
13485,ARTICULOS DE LIMPIEZA PERSONAL,SALCHICHONERIA  ABARROTES Y CREMERIA EL CALVARIO Y/O ADAD MARTINEZ BERNAL,MEXICO,0
13486,ARTICULOS DE LIMPIEZA PERSONAL,SALCHICHONERIA  ABARROTES Y CREMERIA EL CALVARIO Y/O ADAD MARTINEZ BERNAL,MEXICO,0
13487,ARTICULOS DE LIMPIEZA PERSONAL,SALCHICHONERIA  ABARROTES Y CREMERIA EL CALVARIO Y/O ADAD MARTINEZ BERNAL,MEXICO,0
13488,PAN,ABARROTES LA CHIQUITINA Y/O MIRIAM ARMENTA GONZALEZ,MEXICO,0
13489,CEREALES,ABARROTES LA CHIQUITINA Y/O MIRIAM ARMENTA GONZALEZ,MEXICO,0
13490,REFRESCOS,ABARROTES LA CHIQUITINA Y/O MIRIAM ARMENTA GONZALEZ,MEXICO,0
13491,BEBIDAS,ABARROTES LA CHIQUITINA Y/O MIRIAM ARMENTA GONZALEZ,MEXICO,0
13492,FRIJOLES,TIENDA ABARROTERA AMIGA S. A. DE C. V.,MEXICO,0
13493,SALSA,TIENDA ABARROTERA AMIGA S. A. DE C. V.,MEXICO,0
13494,EMBUTIDOS,TIENDA ABARROTERA AMIGA S. A. DE C. V.,MEXICO,0
13495,BEBIDAS,TIENDA ABARROTERA AMIGA S. A. DE C. V.,MEXICO,0
13496,PRENDAS DE VESTIR,BODEGA AURRERA Y/O NUEVA WAL MART DE MEXICO  S DE RL. DE C. V.,MEXICO,0
13497,PRENDAS DE VESTIR,BODEGA AURRERA Y/O NUEVA WAL MART DE MEXICO  S DE RL. DE C. V.,MEXICO,0
13498,PLAYERAS,BODEGA AURRERA Y/O NUEVA WAL MART DE MEXICO  S DE RL. DE C. V.,MEXICO,0
13499,SALSA,ABARROTES Y CREMERIA ARELY Y/O UBALDO SERRANO MORALES,MEXICO,0
13500,GALLETAS,ABARROTES Y CREMERIA ARELY Y/O UBALDO SERRANO MORALES,MEXICO,0
