id,Estado
537,BAJA CALIFORNIA SUR
538,BAJA CALIFORNIA SUR
539,BAJA CALIFORNIA SUR
540,BAJA CALIFORNIA SUR
541,BAJA CALIFORNIA SUR
542,BAJA CALIFORNIA SUR
543,BAJA CALIFORNIA SUR
544,BAJA CALIFORNIA SUR
545,BAJA CALIFORNIA SUR
546,BAJA CALIFORNIA SUR
547,BAJA CALIFORNIA SUR
548,BAJA CALIFORNIA SUR
549,BAJA CALIFORNIA SUR
550,BAJA CALIFORNIA SUR
551,BAJA CALIFORNIA SUR
552,BAJA CALIFORNIA SUR
553,BAJA CALIFORNIA SUR
554,BAJA CALIFORNIA SUR
555,BAJA CALIFORNIA SUR
556,BAJA CALIFORNIA SUR
557,BAJA CALIFORNIA SUR
558,BAJA CALIFORNIA SUR
559,BAJA CALIFORNIA SUR
560,BAJA CALIFORNIA SUR
561,BAJA CALIFORNIA SUR
562,BAJA CALIFORNIA SUR
563,BAJA CALIFORNIA SUR
564,BAJA CALIFORNIA SUR
565,BAJA CALIFORNIA SUR
566,BAJA CALIFORNIA SUR
567,BAJA CALIFORNIA SUR
568,BAJA CALIFORNIA SUR
569,BAJA CALIFORNIA SUR
570,BAJA CALIFORNIA SUR
571,BAJA CALIFORNIA SUR
572,BAJA CALIFORNIA SUR
573,BAJA CALIFORNIA SUR
574,BAJA CALIFORNIA SUR
575,BAJA CALIFORNIA SUR
576,BAJA CALIFORNIA SUR
577,BAJA CALIFORNIA SUR
578,BAJA CALIFORNIA SUR
579,BAJA CALIFORNIA SUR
580,BAJA CALIFORNIA SUR
581,BAJA CALIFORNIA SUR
582,BAJA CALIFORNIA SUR
583,BAJA CALIFORNIA SUR
584,BAJA CALIFORNIA SUR
585,BAJA CALIFORNIA SUR
586,BAJA CALIFORNIA SUR
587,BAJA CALIFORNIA SUR
588,BAJA CALIFORNIA SUR
589,BAJA CALIFORNIA SUR
590,BAJA CALIFORNIA SUR
591,BAJA CALIFORNIA SUR
592,BAJA CALIFORNIA SUR
593,BAJA CALIFORNIA SUR
594,BAJA CALIFORNIA SUR
595,BAJA CALIFORNIA SUR
596,BAJA CALIFORNIA SUR
597,BAJA CALIFORNIA SUR
598,BAJA CALIFORNIA SUR
599,BAJA CALIFORNIA SUR
600,BAJA CALIFORNIA SUR
601,BAJA CALIFORNIA SUR
602,BAJA CALIFORNIA SUR
603,BAJA CALIFORNIA SUR
604,BAJA CALIFORNIA SUR
605,BAJA CALIFORNIA SUR
606,BAJA CALIFORNIA SUR
607,BAJA CALIFORNIA SUR
608,BAJA CALIFORNIA SUR
609,BAJA CALIFORNIA SUR
610,BAJA CALIFORNIA SUR
611,BAJA CALIFORNIA SUR
612,BAJA CALIFORNIA SUR
613,BAJA CALIFORNIA SUR
614,BAJA CALIFORNIA SUR
615,BAJA CALIFORNIA SUR
616,BAJA CALIFORNIA SUR
617,BAJA CALIFORNIA SUR
618,BAJA CALIFORNIA SUR
619,BAJA CALIFORNIA SUR
620,BAJA CALIFORNIA SUR
621,BAJA CALIFORNIA SUR
622,BAJA CALIFORNIA SUR
623,BAJA CALIFORNIA SUR
624,BAJA CALIFORNIA SUR
625,BAJA CALIFORNIA SUR
626,BAJA CALIFORNIA SUR
627,BAJA CALIFORNIA SUR
628,BAJA CALIFORNIA SUR
629,BAJA CALIFORNIA SUR
630,BAJA CALIFORNIA SUR
631,BAJA CALIFORNIA SUR
632,BAJA CALIFORNIA SUR
633,BAJA CALIFORNIA SUR
634,BAJA CALIFORNIA SUR
635,BAJA CALIFORNIA SUR
636,BAJA CALIFORNIA SUR
637,BAJA CALIFORNIA SUR
638,BAJA CALIFORNIA SUR
639,BAJA CALIFORNIA SUR
640,BAJA CALIFORNIA SUR
641,BAJA CALIFORNIA SUR
642,BAJA CALIFORNIA SUR
643,BAJA CALIFORNIA SUR
644,BAJA CALIFORNIA SUR
645,BAJA CALIFORNIA SUR
646,BAJA CALIFORNIA SUR
647,BAJA CALIFORNIA SUR
648,BAJA CALIFORNIA SUR
649,BAJA CALIFORNIA SUR
650,CAMPECHE
651,CAMPECHE
652,CAMPECHE
653,CAMPECHE
654,CAMPECHE
655,CAMPECHE
656,CAMPECHE
657,CAMPECHE
658,CAMPECHE
659,CAMPECHE
660,CAMPECHE
661,CAMPECHE
662,CAMPECHE
663,CAMPECHE
664,CAMPECHE
665,CAMPECHE
666,CAMPECHE
667,CAMPECHE
668,CAMPECHE
669,CAMPECHE
670,CAMPECHE
671,CAMPECHE
672,CAMPECHE
673,CAMPECHE
674,CAMPECHE
675,CAMPECHE
676,CAMPECHE
677,CAMPECHE
678,CAMPECHE
679,CAMPECHE
680,CAMPECHE
681,CAMPECHE
682,CAMPECHE
683,CAMPECHE
684,CAMPECHE
685,CAMPECHE
686,CAMPECHE
687,CAMPECHE
688,CAMPECHE
689,CAMPECHE
690,CAMPECHE
691,CAMPECHE
692,CAMPECHE
693,CAMPECHE
694,CAMPECHE
695,CAMPECHE
696,CAMPECHE
697,CAMPECHE
698,CAMPECHE
699,CAMPECHE
700,CAMPECHE
