,Incumplimiento
357,NO SE DETECTO INCUMPLIMIENTO
358,NO SE DETECTO INCUMPLIMIENTO
359,NO SE DETECTO INCUMPLIMIENTO
360,NO SE DETECTO INCUMPLIMIENTO
361,NO SE DETECTO INCUMPLIMIENTO
362,NO SE DETECTO INCUMPLIMIENTO
363,NO SE DETECTO INCUMPLIMIENTO
364,Carece  de Leyendas precautorias
365,Induce a error o confision con respecto a la naturaleza y caracteristicas del producto
366,NO SE DETECTO INCUMPLIMIENTO
367,NO SE DETECTO INCUMPLIMIENTO
368,NO SE DETECTO INCUMPLIMIENTO
369,NO SE DETECTO INCUMPLIMIENTO
370,NO SE DETECTO INCUMPLIMIENTO
371,NO SE DETECTO INCUMPLIMIENTO
372,NO SE DETECTO INCUMPLIMIENTO
373,NO SE DETECTO INCUMPLIMIENTO
374,NO SE DETECTO INCUMPLIMIENTO
375,NO SE DETECTO INCUMPLIMIENTO
376,NO SE DETECTO INCUMPLIMIENTO
377,NO SE DETECTO INCUMPLIMIENTO
378,NO SE DETECTO INCUMPLIMIENTO
379,NO SE DETECTO INCUMPLIMIENTO
380,NO SE DETECTO INCUMPLIMIENTO
381,NO SE DETECTO INCUMPLIMIENTO
382,NO SE DETECTO INCUMPLIMIENTO
383,NO SE DETECTO INCUMPLIMIENTO
384,NO SE DETECTO INCUMPLIMIENTO
385,NO SE DETECTO INCUMPLIMIENTO
386,NO SE DETECTO INCUMPLIMIENTO
387,NO SE DETECTO INCUMPLIMIENTO
388,Ostenta la informacion comercial en idioma distinto al español
389,Carece de instrucciones y mode de uso
390,NO SE DETECTO INCUMPLIMIENTO
391,NO SE DETECTO INCUMPLIMIENTO
392,NO SE DETECTO INCUMPLIMIENTO
393,NO SE DETECTO INCUMPLIMIENTO
394,NO SE DETECTO INCUMPLIMIENTO
395,NO SE DETECTO INCUMPLIMIENTO
396,NO SE DETECTO INCUMPLIMIENTO
397,NO SE DETECTO INCUMPLIMIENTO
398,NO SE DETECTO INCUMPLIMIENTO
399,Carece de la informacion comercial obligatoria en idioma español
400,NO SE DETECTO INCUMPLIMIENTO
401,NO SE DETECTO INCUMPLIMIENTO
402,NO SE DETECTO INCUMPLIMIENTO
403,NO SE DETECTO INCUMPLIMIENTO
404,NO SE DETECTO INCUMPLIMIENTO
405,NO SE DETECTO INCUMPLIMIENTO
406,Carece de etiqueta de informacion comercial en idioma Español
407,NO SE DETECTO INCUMPLIMIENTO
408,NO SE DETECTO INCUMPLIMIENTO
409,NO SE DETECTO INCUMPLIMIENTO
410,NO SE DETECTO INCUMPLIMIENTO
411,NO SE DETECTO INCUMPLIMIENTO
412,NO SE DETECTO INCUMPLIMIENTO
413,NO SE DETECTO INCUMPLIMIENTO
414,NO SE DETECTO INCUMPLIMIENTO
415,NO SE DETECTO INCUMPLIMIENTO
416,NO SE DETECTO INCUMPLIMIENTO
417,NO SE DETECTO INCUMPLIMIENTO
418,NO SE DETECTO INCUMPLIMIENTO
419,NO SE DETECTO INCUMPLIMIENTO
420,NO SE DETECTO INCUMPLIMIENTO
421,NO SE DETECTO INCUMPLIMIENTO
422,NO SE DETECTO INCUMPLIMIENTO
423,NO SE DETECTO INCUMPLIMIENTO
424,NO SE DETECTO INCUMPLIMIENTO
425,NO SE DETECTO INCUMPLIMIENTO
426,NO SE DETECTO INCUMPLIMIENTO
427,NO SE DETECTO INCUMPLIMIENTO
428,No Ostenta el Pais de Origen en Idioma Español
429,NO SE DETECTO INCUMPLIMIENTO
430,NO SE DETECTO INCUMPLIMIENTO
431,NO SE DETECTO INCUMPLIMIENTO
432,NO SE DETECTO INCUMPLIMIENTO
433,NO SE DETECTO INCUMPLIMIENTO
434,NO SE DETECTO INCUMPLIMIENTO
435,NO SE DETECTO INCUMPLIMIENTO
436,NO SE DETECTO INCUMPLIMIENTO
437,NO SE DETECTO INCUMPLIMIENTO
438,NO SE DETECTO INCUMPLIMIENTO
439,NO SE DETECTO INCUMPLIMIENTO
440,NO SE DETECTO INCUMPLIMIENTO
441,NO SE DETECTO INCUMPLIMIENTO
442,NO SE DETECTO INCUMPLIMIENTO
443,NO SE DETECTO INCUMPLIMIENTO
444,NO SE DETECTO INCUMPLIMIENTO
445,NO SE DETECTO INCUMPLIMIENTO
446,NO SE DETECTO INCUMPLIMIENTO
447,NO SE DETECTO INCUMPLIMIENTO
448,NO SE DETECTO INCUMPLIMIENTO
449,NO SE DETECTO INCUMPLIMIENTO
450,NO SE DETECTO INCUMPLIMIENTO
451,NO SE DETECTO INCUMPLIMIENTO
452,NO SE DETECTO INCUMPLIMIENTO
453,NO SE DETECTO INCUMPLIMIENTO
454,NO SE DETECTO INCUMPLIMIENTO
455,NO SE DETECTO INCUMPLIMIENTO
456,NO SE DETECTO INCUMPLIMIENTO
457,NO SE DETECTO INCUMPLIMIENTO
458,NO SE DETECTO INCUMPLIMIENTO
459,NO SE DETECTO INCUMPLIMIENTO
460,NO SE DETECTO INCUMPLIMIENTO
461,NO SE DETECTO INCUMPLIMIENTO
462,NO SE DETECTO INCUMPLIMIENTO
463,NO SE DETECTO INCUMPLIMIENTO
464,NO SE DETECTO INCUMPLIMIENTO
465,NO SE DETECTO INCUMPLIMIENTO
466,NO SE DETECTO INCUMPLIMIENTO
467,NO SE DETECTO INCUMPLIMIENTO
